id;x;y;demand;ready;due;service;vehicle_capacity
0;50;50;0;0;99999;0;30
1;10;10;3;50;290;10;
2;22;10;2;100;340;10;
3;34;10;4;150;390;10;
4;46;10;1;200;440;10;
5;58;10;5;0;240;10;
6;70;10;2;50;290;10;
7;82;10;6;100;340;10;
8;10;22;3;150;390;10;
9;22;22;2;200;440;10;
10;34;22;4;0;240;10;
11;46;22;1;50;290;10;
12;58;22;5;100;340;10;
13;70;22;2;150;390;10;
14;82;22;6;200;440;10;
15;10;34;3;0;240;10;
16;22;34;2;50;290;10;
17;34;34;4;100;340;10;
18;46;34;1;150;390;10;
19;58;34;5;200;440;10;
20;70;34;2;0;240;10;
21;82;34;6;50;290;10;
22;10;46;3;100;340;10;
23;22;46;2;150;390;10;
24;34;46;4;200;440;10;
25;46;46;1;0;240;10;

